,h3_polyfill,CVEGEO,CVE_ENT,CVE_MUN,NOMGEO,per_ocu_tot,denue_tot,ratio,per_ocu_95,ratio_95
67,8948a20ec6fffff,19006,19,006,Apodaca,1060,107,0.1009433962264151,0,0
68,8948a20d5d7ffff,19006,19,006,Apodaca,932,5,0.00536480686695279,0,1
69,8948a20ee07ffff,19006,19,006,Apodaca,345,61,0.17681159420289855,0,0
70,8948a20c837ffff,19006,19,006,Apodaca,140,7,0.05,0,0
71,8948a20c1a7ffff,19006,19,006,Apodaca,5,1,0.2,0,0
72,8948a20f0a7ffff,19006,19,006,Apodaca,90,18,0.2,0,0
73,8948a20ee37ffff,19006,19,006,Apodaca,175,23,0.13142857142857142,0,0
74,8948a20c017ffff,19006,19,006,Apodaca,45,3,0.06666666666666667,0,0
75,8948a20f1afffff,19006,19,006,Apodaca,1200,12,0.01,0,0
76,8948a20ea23ffff,19006,19,006,Apodaca,75,6,0.08,0,0
77,8948a208937ffff,19006,19,006,Apodaca,301,1,0.0033222591362126247,0,1
78,8948a20eeabffff,19006,19,006,Apodaca,375,66,0.176,0,0
79,8948a20f53bffff,19006,19,006,Apodaca,160,24,0.15,0,0
80,8948a20f3c7ffff,19006,19,006,Apodaca,200,26,0.13,0,0
81,8948a20c39bffff,19006,19,006,Apodaca,30,1,0.03333333333333333,0,0
82,8948a20f06fffff,19006,19,006,Apodaca,20,4,0.2,0,0
83,8948a20f23bffff,19006,19,006,Apodaca,652,3,0.004601226993865031,0,1
84,8948a20f163ffff,19006,19,006,Apodaca,2900,23,0.007931034482758621,1,1
85,8948a20d0bbffff,19006,19,006,Apodaca,10,2,0.2,0,0
86,8948a20f067ffff,19006,19,006,Apodaca,5,1,0.2,0,0
87,8948a20c66fffff,19006,19,006,Apodaca,330,3,0.00909090909090909,0,1
88,8948a20f1bbffff,19006,19,006,Apodaca,40,8,0.2,0,0
89,8948a20ee13ffff,19006,19,006,Apodaca,205,28,0.13658536585365855,0,0
90,8948a201b6bffff,19006,19,006,Apodaca,110,2,0.01818181818181818,0,0
91,8948a20e2b7ffff,19006,19,006,Apodaca,230,16,0.06956521739130435,0,0
92,8948a20f5c3ffff,19006,19,006,Apodaca,165,31,0.18787878787878787,0,0
93,8948a20f367ffff,19006,19,006,Apodaca,35,2,0.05714285714285714,0,0
94,8948a20ce97ffff,19006,19,006,Apodaca,5,1,0.2,0,0
95,8948a20f1d3ffff,19006,19,006,Apodaca,341,7,0.020527859237536656,0,0
96,8948a20f007ffff,19006,19,006,Apodaca,415,44,0.10602409638554217,0,0
97,8948a20c097ffff,19006,19,006,Apodaca,5,1,0.2,0,0
98,8948a20d41bffff,19006,19,006,Apodaca,5,1,0.2,0,0
99,8948a20cddbffff,19006,19,006,Apodaca,250,1,0.004,0,1
100,8948a20cc5bffff,19006,19,006,Apodaca,20,3,0.15,0,0
101,8948a20c5b7ffff,19006,19,006,Apodaca,115,20,0.17391304347826086,0,0
102,8948a20f6cfffff,19006,19,006,Apodaca,30,5,0.16666666666666666,0,0
103,8948a20e3d7ffff,19006,19,006,Apodaca,350,9,0.025714285714285714,0,0
104,8948a20f3abffff,19006,19,006,Apodaca,575,67,0.11652173913043479,0,0
105,8948a20eeb3ffff,19006,19,006,Apodaca,345,54,0.1565217391304348,0,0
106,8948a20ee8fffff,19006,19,006,Apodaca,210,40,0.19047619047619047,0,0
107,8948a20ea2fffff,19006,19,006,Apodaca,50,1,0.02,0,0
108,8948a20f10fffff,19006,19,006,Apodaca,30,1,0.03333333333333333,0,0
109,8948a20d4a3ffff,19006,19,006,Apodaca,15,2,0.13333333333333333,0,0
110,8948a20c14fffff,19006,19,006,Apodaca,301,1,0.0033222591362126247,0,1
111,8948a20ee47ffff,19006,19,006,Apodaca,105,20,0.19047619047619047,0,0
112,8948a20f10bffff,19006,19,006,Apodaca,696,6,0.008620689655172414,0,1
113,8948a20c6c7ffff,19006,19,006,Apodaca,55,2,0.03636363636363636,0,0
114,8948a20cc87ffff,19006,19,006,Apodaca,50,4,0.08,0,0
115,8948a20f567ffff,19006,19,006,Apodaca,20,4,0.2,0,0
116,8948a20ea97ffff,19006,19,006,Apodaca,730,49,0.06712328767123288,0,0
117,8948a20c6dbffff,19006,19,006,Apodaca,210,15,0.07142857142857142,0,0
118,8948a20eecbffff,19006,19,006,Apodaca,110,8,0.07272727272727272,0,0
119,8948a20f113ffff,19006,19,006,Apodaca,5,1,0.2,0,0
120,8948a20c617ffff,19006,19,006,Apodaca,780,4,0.005128205128205128,0,1
121,8948a20ebd7ffff,19006,19,006,Apodaca,50,4,0.08,0,0
122,8948a20f437ffff,19006,19,006,Apodaca,105,10,0.09523809523809523,0,0
123,8948a20d4cbffff,19006,19,006,Apodaca,481,7,0.014553014553014554,0,0
124,8948a20e337ffff,19006,19,006,Apodaca,381,6,0.015748031496062992,0,0
125,8948a20c0cfffff,19006,19,006,Apodaca,830,58,0.06987951807228916,0,0
126,8948a20c0c3ffff,19006,19,006,Apodaca,690,34,0.04927536231884058,0,0
127,8948a20cdd7ffff,19006,19,006,Apodaca,135,20,0.14814814814814814,0,0
128,8948a20c1a3ffff,19006,19,006,Apodaca,260,37,0.1423076923076923,0,0
129,8948a20ec7bffff,19006,19,006,Apodaca,250,44,0.176,0,0
130,8948a20c443ffff,19006,19,006,Apodaca,1495,133,0.08896321070234113,1,0
131,8948a20f013ffff,19006,19,006,Apodaca,170,18,0.10588235294117647,0,0
132,8948a20ec4fffff,19006,19,006,Apodaca,360,57,0.15833333333333333,0,0
133,8948a20e86bffff,19006,19,006,Apodaca,50,10,0.2,0,0
134,8948a20c62fffff,19006,19,006,Apodaca,915,36,0.03934426229508197,0,0
135,8948a20f173ffff,19006,19,006,Apodaca,30,1,0.03333333333333333,0,0
